pu,nuts2id,EU_id
1205,97,1
1206,97,2
1207,97,3
1244,97,4
1245,97,5
1246,97,6
1247,97,7
1280,97,8
1281,97,9
1282,97,10
1283,97,11
1284,97,12
1285,97,13
1286,97,14
1287,97,15
1288,97,16
1289,97,17
1290,97,18
1323,97,19
1324,97,20
1325,97,21
1326,97,22
1327,97,23
1328,97,24
1329,97,25
1330,97,26
1331,97,27
1332,97,28
1333,97,29
1366,97,30
1367,97,31
1368,97,32
1369,97,33
1370,97,34
1371,97,35
1372,97,36
1373,97,37
1374,97,38
1375,97,39
1376,97,40
1377,97,41
1378,97,42
1411,97,43
1412,97,44
1413,97,45
1414,97,46
1415,97,47
1416,97,48
1417,97,49
1418,97,50
1419,97,51
1420,97,52
1421,97,53
1422,97,54
1423,97,55
1456,97,56
1457,97,57
1458,97,58
1459,97,59
1460,97,60
1461,97,61
1462,97,62
1463,97,63
1464,97,64
1465,97,65
1466,97,66
1467,97,67
1500,97,68
1501,97,69
1502,97,70
1503,97,71
1504,97,72
1505,97,73
1506,97,74
1507,97,75
1508,97,76
1509,97,77
1510,97,78
1511,97,79
1545,97,80
1546,97,81
1547,97,82
1548,97,83
1549,97,84
1550,97,85
1551,97,86
1552,97,87
1553,97,88
1556,97,89
1590,97,90
1591,97,91
1592,97,92
1593,97,93
1594,97,94
1595,97,95
1596,97,96
1597,97,97
1601,97,98
1602,97,99
1635,97,100
1636,97,101
1637,97,102
1638,97,103
1639,97,104
1640,97,105
1641,97,106
1642,97,107
1645,97,108
1646,97,109
1680,97,110
1681,97,111
1682,97,112
1683,97,113
1684,97,114
1685,97,115
1686,97,116
1687,97,117
1691,97,118
1692,97,119
1729,97,120
1730,97,121
1731,97,122
1732,97,123
1733,97,124
1734,97,125
1738,97,126
1739,97,127
1740,97,128
1761,97,129
1762,97,130
1780,97,131
1781,97,132
1782,97,133
1783,97,134
1784,97,135
1785,97,136
1786,97,137
1788,97,138
1789,97,139
1790,97,140
1791,97,141
1815,97,142
1816,97,143
1817,97,144
1833,97,145
1834,97,146
1835,97,147
1836,97,148
1837,97,149
1838,97,150
1839,97,151
1840,97,152
1841,97,153
1842,97,154
1843,97,155
1844,97,156
1845,97,157
1873,97,158
1874,97,159
1875,97,160
1876,97,161
1890,97,162
1891,97,163
1892,97,164
1893,97,165
