Code,Croplandhigh,Croplandmid,Croplandlow,PastureLow,PastureHigh,G4Mconservation,G4Mmultipurpose,G4Mproduction
A01,3,2,1,1,2,,,
A04,2,1,0,1,2,,,
A25,3,2,1,,,,,
A26,3,2,1,,,,,
A29,3,2,1,,,,,
A30,3,2,1,,,,,
A31,3,2,1,,,,,
A35,3,2,1,,,,,
A08,1,1,0,1,2,,,
A02,2,1,0,0,1,,,
A03,2,1,0,0,1,,,
A18,2,1,1,,,,,
A19,2,1,1,,,,,
A20,2,1,1,,,,,
A21,2,1,1,,,,,
A22,2,1,1,,,,,
A23,1,1,2,,,,,
A05,1,1,0,0,1,,,
A07,1,1,0,0,1,,,
A09,,,,1,2,,,
A14,,,,1,2,,,
A15,2,1,0,,,,,
A16,2,1,0,,,,,
A17,2,1,0,,,,,
A24,1,1,1,,,,,
A34,2,1,0,,,,,
B04,,,,,,0,1,2
B07,,,,,,0,1,2
B19,,,,,,0,1,2
B20,,,,,,0,1,2
B23,,,,,,0,1,2
B25,,,,,,0,1,2
B26,,,,,,0,1,2
B29,,,,,,0,1,2
A13,,,,1,1,,,
B02,,,,,,0,1,1
B03,,,,,,0,1,1
B05,,,,,,0,1,1
B08,,,,,,0,1,1
B10,,,,,,0,1,1
B12,,,,,,0,1,1
B16,,,,,,0,1,1
B18,,,,,,0,1,1
B21,,,,,,0,1,1
B22,,,,,,0,1,1
B24,,,,,,0,1,1
B27,,,,,,0,1,1
B28,,,,,,0,1,1
A06,,,,0,1,,,
B06,,,,,,0,1,0
B15,,,,,,0,0,1
B17,,,,,,0,0,1
B09,,,,,,0,0,1
B16,,,0,1,1,,,
B17,,,0,0,1,,,
B18,,,0,1,1,,,
B19,,,0,1,2,,,
B20,,,0,1,2,,,
B21,,,0,1,1,,,
B22,,,0,1,1,,,
B23,,,0,1,2,,,
B24,,,0,1,1,,,
B25,,,0,1,2,,,
B26,,,0,1,2,,,
B27,,,0,1,1,,,
B28,,,0,1,1,,,
B29,,,0,1,2,,,
