speciesname,taxon_id
Eptesicus_nilssonii,7261816
Eptesicus_serotinus,2432359
Helix_pomatia,2294287
Lycaena_dispar,1929270
Miniopterus_schreibersii,9796816
Mustela_putorius,5218911
Myotis_alcathoe,4266346
Myotis_aurascens,4409308
Myotis_bechsteinii,2432427
Myotis_blythii,2432414
Myotis_brandtii,7261875
Myotis_capaccinii,2432430
Myotis_dasycneme,2432452
Myotis_daubentonii,2432439
Myotis_emarginatus,2432470
Myotis_myotis,2432416
Myotis_mystacinus,9754263
Myotis_nattereri,2432389
Nyctalus_lasiopterus,5218525
Nyctalus_leisleri,5218522
Nyctalus_noctula,5218524
Pipistrellus_kuhlii,5218464
Pipistrellus_nathusii,5218471
Pipistrellus_pipistrellus,5218465
Pipistrellus_pygmaeus,5707150
Plecotus_auritus,5218507
Plecotus_austriacus,5739437
Podarcis_muralis,2469188
Podarcis_taurica,2469065
Rhinolophus_blasii,2432666
Rhinolophus_euryale,2432621
Rhinolophus_ferrumequinum,2432655
Rhinolophus_hipposideros,2432614
Barbastella_barbastellus,2432582
Spermophilus_citellus,2437304
Tadarida_teniotis,2433009
Vespertilio_murinus,2432564
Zerynthia_polyxena,5141262
Erebia_calcaria,5135314
Pelobates_fuscus,2430567
Rana_temporaria,2426805
Bolbelasmus_unicornis,1085533
Boros_schneideri,4456155
Bromus_grossus,2703659
Erebia_christi,5134777
Ablepharus_kitaibelii,9439986
Clossiana_improba,5882039
Alopex_lagopus,5219303
Coenagrion_ornatum,1422002
Coenonympha_hero,1911168
Coenonympha_oedippus,1911093
Colias_myrmidone,5137708
Coronella_austriaca,5959617
Cricetus_cricetus,2438704
Cypripedium_calceolus,2820517
Daphne_arbuscula,7311463
Daphne_petraea,5524243
Dianthus_lumnitzeri,7489951
Dianthus_nitidus,7267339
Dinaromys_bogdanovi,2438502
Dracocephalum_austriacum,3903269
Elaphe_quatuorlineata,9197691
Eleocharis_carniolica,2717871
Encalypta_mutica,5280170
Erebia_medusa,5134680
Erebia_sudetica,5134808
Eriogaster_catax,4525268
Eryngium_alpinum,3633778
Erysimum_pieninicum,3048474
Euphydryas_aurinia,4535809
Felis_silvestris,7964291
Ferula_sadleriana,3636648
Fritillaria_drenovskii,5300375
Fritillaria_gussichiae,5300376
Genetta_genetta,5219362
Gentiana_ligustica,3838874
Gentiana_lutea,3170040
Gladiolus_palustris,2750279
Glyphipterix_loricatella,1829987
Angelica_palustris,3637114
Gulo_gulo,5219073
Gymnigritella_runei,2840551
Gypsophila_papillosa,5586222
Hesperia_comma,5142282
Himantoglossum_adriaticum,5324944
Hladnikia_pastinacifolia,5540289
Hyla_arborea,2427573
Hyles_hippophaes,1862774
Hystrix_cristata,5219888
Iris_marsica,5298940
Isophya_costata,1684375
Isophya_harzi,1684370
Isophya_stysi,1684312
Lacerta_agilis,6159223
Lacerta_viridis,6159273
Leptidea_morsei,5137908
Lepus_timidus,2436756
Ligularia_sibirica,6445722
Lutra_lutra,2433753
Lycaena_helle,7417698
Lynx_lynx,2435240
Maculinea_arion,4535168
Maculinea_nausithous,4535165
Maculinea_teleius,4535172
Mannia_triandra,5286287
Melanargia_arge,1916347
Aquilegia_alpina,3921499
Microtus_tatricus,2438637
Aquilegia_bertolonii,3921309
Mustela_lutreola,5219007
Arabis_scopoliana,5374899
Narcissus_asturiensis,2858431
Narcissus_bulbocodium,2858846
Arnica_montana,5405976
Artemisia_eriantha,4229609
Onosma_tornensis,9218377
Orthothecium_lapponicum,5283624
Paracaloptenus_caloptenoides,1702607
Parnassius_apollo,1938810
Parnassius_mnemosyne,1938520
Pelobates_cultripes,2430565
Pilemia_tigrina,8211086
Plecotus_macrobullaris,5787719
Podarcis_erhardii,2469075
Potentilla_delphinensis,5366702
Primula_scandinavica,7933553
Proserpinus_proserpina,1864161
Pulsatilla_grandis,7277986
Pulsatilla_patens,3033623
Pulsatilla_slavica,7433759
Pulsatilla_subslavica,7433759
Rana_arvalis,2426789
Adenophora_lilifolia,5604715
Rana_dalmatina,2426760
Rana_graeca,2426795
Rana_italica,2426815
Rana_latastei,2426788
Aster_pyrenaeus,9329340
Astragalus_aquilanus,5345691
Rhinolophus_mehelyi,2432667
Rupicapra_pyrenaica,5220171
Rupicapra_rupicapra,5220170
Saga_pedo,1683952
Salamandra_atra,2431781
Salamandra_lanzai,2431780
Salamandrina_terdigitata,2431852
Saxifraga_valdensis,3754286
