pu,nuts2id,BR_ID,EU_id
1205,97,1,1
1206,97,1,2
1207,97,1,3
1244,97,1,4
1245,97,1,5
1246,97,1,6
1247,97,1,7
1280,97,1,8
1281,97,1,9
1282,97,1,10
1283,97,1,11
1284,97,1,12
1285,97,1,13
1286,97,1,14
1287,97,1,15
1288,97,1,16
1289,97,1,17
1290,97,1,18
1323,97,1,19
1324,97,1,20
1325,97,1,21
1326,97,1,22
1327,97,1,23
1328,97,1,24
1329,97,1,25
1330,97,1,26
1331,97,1,27
1332,97,1,28
1333,97,1,29
1366,97,1,30
1367,97,1,31
1368,97,1,32
1369,97,1,33
1370,97,1,34
1371,97,1,35
1372,97,1,36
1373,97,1,37
1374,97,1,38
1375,97,1,39
1376,97,1,40
1377,97,1,41
1378,97,1,42
1411,97,1,43
1412,97,1,44
1413,97,1,45
1414,97,1,46
1415,97,1,47
1416,97,1,48
1417,97,1,49
1418,97,1,50
1419,97,6,51
1420,97,6,52
1421,97,6,53
1422,97,6,54
1423,97,6,55
1456,97,1,56
1457,97,1,57
1458,97,1,58
1459,97,1,59
1460,97,1,60
1461,97,1,61
1462,97,1,62
1463,97,6,63
1464,97,6,64
1465,97,6,65
1466,97,6,66
1467,97,6,67
1500,97,1,68
1501,97,1,69
1502,97,1,70
1503,97,1,71
1504,97,1,72
1505,97,1,73
1506,97,6,74
1507,97,6,75
1508,97,6,76
1509,97,6,77
1510,97,6,78
1511,97,6,79
1545,97,1,80
1546,97,1,81
1547,97,1,82
1548,97,1,83
1549,97,1,84
1550,97,1,85
1551,97,6,86
1552,97,6,87
1553,97,6,88
1556,97,6,89
1590,97,1,90
1591,97,1,91
1592,97,1,92
1593,97,1,93
1594,97,1,94
1595,97,6,95
1596,97,6,96
1597,97,6,97
1601,97,6,98
1602,97,6,99
1635,97,1,100
1636,97,1,101
1637,97,1,102
1638,97,1,103
1639,97,1,104
1640,97,6,105
1641,97,6,106
1642,97,6,107
1645,97,6,108
1646,97,6,109
1680,97,1,110
1681,97,1,111
1682,97,1,112
1683,97,1,113
1684,97,6,114
1685,97,6,115
1686,97,6,116
1687,97,6,117
1691,97,6,118
1692,97,6,119
1729,97,1,120
1730,97,1,121
1731,97,6,122
1732,97,6,123
1733,97,6,124
1734,97,6,125
1738,97,6,126
1739,97,6,127
1740,97,6,128
1761,97,1,129
1762,97,1,130
1780,97,1,131
1781,97,6,132
1782,97,6,133
1783,97,6,134
1784,97,6,135
1785,97,6,136
1786,97,6,137
1788,97,6,138
1789,97,6,139
1790,97,6,140
1791,97,6,141
1815,97,1,142
1816,97,1,143
1817,97,1,144
1833,97,1,145
1834,97,6,146
1835,97,6,147
1836,97,6,148
1837,97,6,149
1838,97,6,150
1839,97,6,151
1840,97,6,152
1841,97,6,153
1842,97,6,154
1843,97,6,155
1844,97,6,156
1845,97,6,157
1873,97,1,158
1874,97,1,159
1875,97,1,160
1876,97,1,161
1890,97,1,162
1891,97,1,163
1892,97,6,164
1893,97,6,165
1894,97,6,166
1895,97,6,167
1896,97,6,168
1897,97,6,169
1898,97,6,170
1899,97,6,171
1900,97,6,172
