target,feature,sense,type,zone
390.31088809776355,10795880101,>=,absolute,
38.64098400329786,10795880106,>=,absolute,
57.82806776928711,10795880109,>=,absolute,
165.09909947690824,10795880111,>=,absolute,
25.669972824166443,10795880113,>=,absolute,
310.30309248199836,10795880116,>=,absolute,
20.80275784068319,10795880122,>=,absolute,
60.52092358543328,10795880126,>=,absolute,
64.79520874538207,10795880127,>=,absolute,
66.2542894040071,10795880402,>=,absolute,
393.57714112788875,10795880406,>=,absolute,
1.961322385499646,10795880407,>=,absolute,
119.24929471056929,10795880409,>=,absolute,
965.6277028689353,10795880411,>=,absolute,
140.77181924795724,10795880421,>=,absolute,
40.56344827982253,10795880608,>=,absolute,
9.265094107162259,10795880610,>=,absolute,
366.6631789058917,10795880617,>=,absolute,
414.8872014731139,10795880619,>=,absolute,
566.2039508345787,10795880625,>=,absolute,
163.68711188473307,10795880701,>=,absolute,
65.72082246838083,10795880702,>=,absolute,
351.00274276143637,10795880705,>=,absolute,
1703.3382758480561,10795880706,>=,absolute,
51.18017109582682,10795880707,>=,absolute,
791.7800769220132,10795880711,>=,absolute,
60.20027602219669,10795880713,>=,absolute,
314.71898738669,10795880716,>=,absolute,
0,10795880717,>=,absolute,
12.647075947359372,10795880718,>=,absolute,
1103.5389111056272,10795880722,>=,absolute,
77.22732243118816,10795880725,>=,absolute,
93.2143348178514,10795880726,>=,absolute,
199.33787830879075,10795880909,>=,absolute,
350.05200417777513,10795880911,>=,absolute,
18.998340892231912,10795880913,>=,absolute,
315.71145027827464,10795880916,>=,absolute,
9.222769334330211,10795881105,>=,absolute,
64.51901116986728,10795881114,>=,absolute,
34.906998977024685,10795881127,>=,absolute,
6.4666616087528155,11192880101,>=,absolute,
38.328516099442716,11192880103,>=,absolute,
0,11192880109,>=,absolute,
1.3109703784556501,11192880111,>=,absolute,
7.659199190959364,11192880113,>=,absolute,
10.148581548414647,11192880116,>=,absolute,
11.464708096300098,11192880124,>=,absolute,
0.29955237889899855,11192880126,>=,absolute,
0,11192880127,>=,absolute,
1.9235557351227903,11192880503,>=,absolute,
0,11192880524,>=,absolute,
0,11192880701,>=,absolute,
55.893627547411135,11192880703,>=,absolute,
1.0749865229581983,11192880711,>=,absolute,
4.011340658664747,11192880713,>=,absolute,
3.998011167436497,11192880716,>=,absolute,
28.115265695761405,11192880724,>=,absolute,
0,11192880726,>=,absolute,
0,11192880909,>=,absolute,
2.7926113715178995,11192880911,>=,absolute,
13.432182594285825,11192880912,>=,absolute,
0.304124441742897,11192880913,>=,absolute,
0,11192880916,>=,absolute,
0,11192881114,>=,absolute,
0.3040215779095888,11192881124,>=,absolute,
0,11192881127,>=,absolute,
8.773841462745771,11192881224,>=,absolute,
15.245975642933846,14211990101,>=,absolute,
31.73808737650606,14211990103,>=,absolute,
3.7639477800284293,14211990113,>=,absolute,
9.59400315889637,14211990116,>=,absolute,
20.85309537196355,14211990124,>=,absolute,
1.4518033919190427,14211990126,>=,absolute,
0.07332408231269472,14211990127,>=,absolute,
3.6441937035736647,14211990701,>=,absolute,
21.16610762364256,14211990703,>=,absolute,
0.019939264486310976,14211990705,>=,absolute,
0.19490648264052252,14211990713,>=,absolute,
2.5722511075862817,14211990716,>=,absolute,
4.544555819558666,14211990724,>=,absolute,
0.20411866791109615,14211990726,>=,absolute,
4.094767077504356,14211990912,>=,absolute,
0.20912527451764612,14211990913,>=,absolute,
0.02648030131007315,14211991105,>=,absolute,
1.5571658559116128,14211991114,>=,absolute,
0.005496876208781032,14211991124,>=,absolute,
0.03525839778842506,14211991127,>=,absolute,
19.84117565207394,14219880101,>=,absolute,
2.1588243479260627,14219880106,>=,absolute,
3.52932589663974,14220020101,>=,absolute,
12.52877055954169,14220020103,>=,absolute,
5.562257692600334,14220020113,>=,absolute,
0.16842587020080407,14220020116,>=,absolute,
0.9131236961560742,14220020122,>=,absolute,
17.26583192831774,14220020124,>=,absolute,
3.5476723375163326,14220020126,>=,absolute,
17.043572520812646,14220020127,>=,absolute,
11.138620285175708,14220020406,>=,absolute,
3.8158434643058587,14220020411,>=,absolute,
3.6797232997120672,14220020503,>=,absolute,
6.497218126617218,14220020524,>=,absolute,
6.84979545442484,14220020701,>=,absolute,
71.19557048534112,14220020703,>=,absolute,
28.097319331577843,14220020705,>=,absolute,
59.36805814014852,14220020706,>=,absolute,
34.0722246738086,14220020711,>=,absolute,
8.489117035412585,14220020713,>=,absolute,
0.9221691734695314,14220020716,>=,absolute,
0.732997854647658,14220020722,>=,absolute,
51.460389233333416,14220020724,>=,absolute,
5.376473358388839,14220020726,>=,absolute,
57.999861835234796,14220020912,>=,absolute,
12.932908352598247,14220020913,>=,absolute,
0.29913255515578524,14220021105,>=,absolute,
47.464467815963864,14220021114,>=,absolute,
8.586760030719674,14220021124,>=,absolute,
6.101361767277821,14220021127,>=,absolute,
12.583800901415048,14220021224,>=,absolute,
4.995432980402371,14220120101,>=,absolute,
8.439237305036478,14220120106,>=,absolute,
18.359828247148155,14220120109,>=,absolute,
60.89731793242713,14220120111,>=,absolute,
10.204025682719296,14220120116,>=,absolute,
0.4724243173739617,14220120402,>=,absolute,
22.142406538747263,14220120406,>=,absolute,
101.00185200926627,14220120409,>=,absolute,
539.8572727634474,14220120411,>=,absolute,
6.69479431768796,14220120423,>=,absolute,
0.21553037765475627,14220120701,>=,absolute,
7.217205314194754,14220120702,>=,absolute,
145.7259288736088,14220120706,>=,absolute,
446.4669077817212,14220120711,>=,absolute,
17.336204067036,14220120716,>=,absolute,
2.9181268208791304,14220120718,>=,absolute,
442.0941697755522,14220120909,>=,absolute,
180.0965866814047,14220120911,>=,absolute,
153.34837576712235,14220120916,>=,absolute,
73.68299779275215,14220120923,>=,absolute,
2.4853178396812408,14251870101,>=,absolute,
0.6765429005331872,14251870122,>=,absolute,
0.04034895357088476,14251870126,>=,absolute,
3.8882267168265483,14251870127,>=,absolute,
7.01444785851309,14251870402,>=,absolute,
69.60248009128034,14251870406,>=,absolute,
18.977161793186987,14251870407,>=,absolute,
49.95148792653957,14251870421,>=,absolute,
43.555471059024605,14251870608,>=,absolute,
95.53112829581423,14251870610,>=,absolute,
65.35344640576658,14251870617,>=,absolute,
27.601382263079174,14251870619,>=,absolute,
109.02160031485926,14251870625,>=,absolute,
5.800620707477819,14251870701,>=,absolute,
3.85754879407161,14251870705,>=,absolute,
84.69169495436067,14251870706,>=,absolute,
36.08164903347181,14251870707,>=,absolute,
14.217343622716655,14251870713,>=,absolute,
0,14251870717,>=,absolute,
168.78449368735838,14251870722,>=,absolute,
1.0432495723689303,14251870724,>=,absolute,
7.374085870576521,14251870725,>=,absolute,
0.0954070835180977,14251870726,>=,absolute,
0.33174910674708813,14251871105,>=,absolute,
37.923114233122675,14251871114,>=,absolute,
4.1848077668475465,14251871124,>=,absolute,
4.233000760616893,14251871127,>=,absolute,
10.635613421498059,14260580101,>=,absolute,
25.114024993188174,14260580103,>=,absolute,
2.42812002963892,14260580106,>=,absolute,
1.511451585970511,14260580116,>=,absolute,
10.654159031477977,14260580122,>=,absolute,
20.578620847834866,14260580124,>=,absolute,
7.432047688003316,14260580126,>=,absolute,
20.62703466651212,14260580127,>=,absolute,
6.123520894275029,14260580402,>=,absolute,
124.00168252798623,14260580406,>=,absolute,
37.164360894455996,14260580407,>=,absolute,
97.81162643657082,14260580411,>=,absolute,
9.259093592154574,14260580421,>=,absolute,
5.085553689874419,14260580503,>=,absolute,
1.2314391739782877,14260580524,>=,absolute,
132.6782054299943,14260580608,>=,absolute,
357.8516344631418,14260580610,>=,absolute,
219.2158660654791,14260580617,>=,absolute,
84.22931808661866,14260580619,>=,absolute,
78.23551116117387,14260580625,>=,absolute,
43.07736268323834,14260580701,>=,absolute,
0.6581777855458739,14260580702,>=,absolute,
40.72653368457716,14260580703,>=,absolute,
160.76360677368208,14260580705,>=,absolute,
519.0860042162254,14260580706,>=,absolute,
32.2440202090865,14260580707,>=,absolute,
89.18725072950733,14260580711,>=,absolute,
19.54797237115045,14260580713,>=,absolute,
19.942513595755052,14260580716,>=,absolute,
0,14260580717,>=,absolute,
533.1982366616106,14260580722,>=,absolute,
43.65562483752356,14260580724,>=,absolute,
19.766046234650123,14260580726,>=,absolute,
3.243882641732577,14260580911,>=,absolute,
14.730480580283162,14260580912,>=,absolute,
2.060089856382176,14260581105,>=,absolute,
55.40319854215905,14260581114,>=,absolute,
4.582168311847545,14260581124,>=,absolute,
18.20069007839582,14260581127,>=,absolute,
4.926373561930271,14260581224,>=,absolute,
0.4663992980189598,14291780101,>=,absolute,
0.5053354361531502,14291780106,>=,absolute,
1.9731766867932916,14291780127,>=,absolute,
2.176374499386275,14291780402,>=,absolute,
13.29683947177001,14291780406,>=,absolute,
38.07718618540781,14291780411,>=,absolute,
1.1760994504292754,14291780421,>=,absolute,
85.35414798418854,14291780608,>=,absolute,
328.96075774725716,14291780610,>=,absolute,
68.0285079955976,14291780617,>=,absolute,
22.15767134359008,14291780619,>=,absolute,
313.20431116117516,14291780625,>=,absolute,
1.3346613816401889,14291780701,>=,absolute,
4.270722139894803,14291780702,>=,absolute,
2.197523447531969,14291780705,>=,absolute,
88.56014420025885,14291780706,>=,absolute,
0.09321348674129694,14291780707,>=,absolute,
52.99874485292054,14291780711,>=,absolute,
1.1162773371457198,14291780713,>=,absolute,
0,14291780717,>=,absolute,
1.1643031849055303,14291780718,>=,absolute,
73.82987186226833,14291780722,>=,absolute,
7.765126141822505,14291780725,>=,absolute,
4.6069379115311255,14291781114,>=,absolute,
0.5725006920674127,14291781127,>=,absolute,
3.3956964277651442,14291940101,>=,absolute,
4.413766913962419,14291940106,>=,absolute,
0.6652845436838106,14291940109,>=,absolute,
0.7337978026960172,14291940111,>=,absolute,
4.958904121499113,14291940116,>=,absolute,
3.2030172004488127,14291940122,>=,absolute,
6.602832498989034,14291940124,>=,absolute,
0.6783734110140358,14291940126,>=,absolute,
7.95724420205795,14291940127,>=,absolute,
18.2932501179317,14291940402,>=,absolute,
91.38212842257612,14291940406,>=,absolute,
5.681502496167469,14291940407,>=,absolute,
62.98424014208702,14291940411,>=,absolute,
58.63640884365985,14291940421,>=,absolute,
77.17561043977034,14291940608,>=,absolute,
44.345295579756964,14291940610,>=,absolute,
116.8636124805968,14291940617,>=,absolute,
82.17969370853393,14291940619,>=,absolute,
127.01225799939257,14291940625,>=,absolute,
10.303819990995143,14291940701,>=,absolute,
12.778707379702126,14291940702,>=,absolute,
0.0594328500839689,14291940703,>=,absolute,
66.86342568965937,14291940705,>=,absolute,
260.14053603407683,14291940706,>=,absolute,
26.878593528985324,14291940707,>=,absolute,
76.11498256433246,14291940711,>=,absolute,
7.089500996812908,14291940713,>=,absolute,
1.0128257866035142,14291940716,>=,absolute,
0,14291940717,>=,absolute,
1.7057449019127378,14291940718,>=,absolute,
194.88096087716914,14291940722,>=,absolute,
6.37305156748201,14291940724,>=,absolute,
9.891753076579345,14291940725,>=,absolute,
