zone,id
Cropland_low_restore,1
Cropland_med_restore,2
Grassland_natural_restore,3
HeathlandShrub_natural_restore,4
MarineTransitional_natural_restore,5
Pasture_low_restore,6
SparseVeg_natural_restore,7
Wetlands_natural_restore,8
WoodlandForest_multi_restore,9
WoodlandForest_primary_restore,10
WoodlandForest_prod_restore,11
WoodlandForest_multi_production,12
WoodlandForest_prod_production,13
Pasture_high_production,14
Pasture_low_production,15
Cropland_med_production,16
Cropland_low_production,17
Cropland_high_production,18
HeathlandShrub_natural_conserve,19
Grassland_natural_conserve,20
SparseVeg_natural_conserve,21
Wetlands_natural_conserve,22
RiversLakes_natural_conserve,23
MarineTransitional_natural_conserve,24
WoodlandForest_primary_conserve,25
Urban_urban_lockin,26
