PUID,WoodlandForest,HeathlandShrub,Grassland,Pasture,SparseVeg,Cropland,Urban,Wetlands,RiversLakes,MarineTransitional,area,Status
1,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
2,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
3,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
4,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
5,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
6,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
7,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
8,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
9,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
10,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
11,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
12,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
13,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
14,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
15,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
16,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
17,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
18,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
19,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
20,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
21,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
22,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
23,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
24,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
25,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
26,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
28,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
29,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
30,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
31,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
32,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
33,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
34,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
35,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
36,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
37,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
38,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
39,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
40,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
41,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
42,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
43,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
44,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
45,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
46,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
47,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
48,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
49,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
50,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
51,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
52,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
53,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
54,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
55,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
56,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
57,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
58,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
59,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
60,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
61,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
62,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
63,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
64,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
65,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
66,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
67,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
68,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
69,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
70,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
71,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
72,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
73,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
74,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
75,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
76,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
77,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
78,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
79,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
80,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
81,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
82,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
83,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
84,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
85,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
86,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
87,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
88,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
89,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
90,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
91,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
92,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
93,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
94,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
95,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
