taxon_id,speciesname,type_intensity,threat
1072120,Propomacrus_cypriacus,WoodlandForest_multi,2
1072120,Propomacrus_cypriacus,WoodlandForest_primary,0
1072120,Propomacrus_cypriacus,WoodlandForest_prod,3
1085533,Bolbelasmus_unicornis,Cropland_high,7
1085533,Bolbelasmus_unicornis,Cropland_low,1
1085533,Bolbelasmus_unicornis,Cropland_med,5
1085533,Bolbelasmus_unicornis,Pasture_high,15
1085533,Bolbelasmus_unicornis,Pasture_low,6
1085533,Bolbelasmus_unicornis,WoodlandForest_multi,9
1085533,Bolbelasmus_unicornis,WoodlandForest_primary,0
1085533,Bolbelasmus_unicornis,WoodlandForest_prod,15
1115612,Pseudogaurotina_excellens,WoodlandForest_multi,5
1115612,Pseudogaurotina_excellens,WoodlandForest_primary,0
1115612,Pseudogaurotina_excellens,WoodlandForest_prod,9
1119288,Morimus_funereus,WoodlandForest_multi,10
1119288,Morimus_funereus,WoodlandForest_primary,0
1119288,Morimus_funereus,WoodlandForest_prod,16
1421199,Cordulegaster_heros,WoodlandForest_multi,6
1421199,Cordulegaster_heros,WoodlandForest_primary,0
1421199,Cordulegaster_heros,WoodlandForest_prod,8
1422002,Coenagrion_ornatum,Pasture_high,11
1422002,Coenagrion_ornatum,Pasture_low,4
1422012,Coenagrion_mercuriale,Pasture_high,13
1422012,Coenagrion_mercuriale,Pasture_low,4
1425187,Aeshna_viridis,Pasture_high,3
1425187,Aeshna_viridis,Pasture_low,1
1426058,Ophiogomphus_cecilia,Pasture_high,10
1426058,Ophiogomphus_cecilia,Pasture_low,5
1426058,Ophiogomphus_cecilia,WoodlandForest_multi,3
1426058,Ophiogomphus_cecilia,WoodlandForest_primary,0
1426058,Ophiogomphus_cecilia,WoodlandForest_prod,4
1429178,Leucorrhinia_caudalis,WoodlandForest_multi,1
1429178,Leucorrhinia_caudalis,WoodlandForest_primary,0
1429178,Leucorrhinia_caudalis,WoodlandForest_prod,2
1429194,Leucorrhinia_pectoralis,WoodlandForest_multi,5
1429194,Leucorrhinia_pectoralis,WoodlandForest_primary,0
1429194,Leucorrhinia_pectoralis,WoodlandForest_prod,8
1429199,Leucorrhinia_albifrons,WoodlandForest_multi,1
1429199,Leucorrhinia_albifrons,WoodlandForest_primary,0
1429199,Leucorrhinia_albifrons,WoodlandForest_prod,1
1429876,Macromia_splendens,Pasture_high,6
1429876,Macromia_splendens,Pasture_low,3
1429876,Macromia_splendens,WoodlandForest_multi,3
1429876,Macromia_splendens,WoodlandForest_primary,0
1429876,Macromia_splendens,WoodlandForest_prod,3
1430236,Oxygastra_curtisii,Pasture_high,7
1430236,Oxygastra_curtisii,Pasture_low,4
1430236,Oxygastra_curtisii,WoodlandForest_multi,5
1430236,Oxygastra_curtisii,WoodlandForest_primary,0
1430236,Oxygastra_curtisii,WoodlandForest_prod,8
1683952,Saga_pedo,Cropland_high,13
1683952,Saga_pedo,Cropland_low,2
1683952,Saga_pedo,Cropland_med,8
1683952,Saga_pedo,Pasture_high,9
1683952,Saga_pedo,Pasture_low,3
1684312,Isophya_stysi,Cropland_high,9
1684312,Isophya_stysi,Cropland_low,2
1684312,Isophya_stysi,Cropland_med,6
1684312,Isophya_stysi,Pasture_high,12
1684312,Isophya_stysi,Pasture_low,4
1684370,Isophya_harzi,Pasture_high,4
1684370,Isophya_harzi,Pasture_low,2
1684375,Isophya_costata,Cropland_high,8
1684375,Isophya_costata,Cropland_low,2
1684375,Isophya_costata,Cropland_med,5
1684375,Isophya_costata,Pasture_high,8
1684375,Isophya_costata,Pasture_low,3
1695277,Pholidoptera_transsylvanica,Pasture_high,15
1695277,Pholidoptera_transsylvanica,Pasture_low,7
1695277,Pholidoptera_transsylvanica,WoodlandForest_multi,6
1695277,Pholidoptera_transsylvanica,WoodlandForest_primary,0
1695277,Pholidoptera_transsylvanica,WoodlandForest_prod,8
1702607,Paracaloptenus_caloptenoides,Cropland_high,8
1702607,Paracaloptenus_caloptenoides,Cropland_low,2
1702607,Paracaloptenus_caloptenoides,Cropland_med,5
1702607,Paracaloptenus_caloptenoides,Pasture_high,10
1702607,Paracaloptenus_caloptenoides,Pasture_low,4
1710221,Odontopodisma_rubripes,Cropland_high,3
1710221,Odontopodisma_rubripes,Cropland_low,1
1710221,Odontopodisma_rubripes,Cropland_med,2
1710221,Odontopodisma_rubripes,Pasture_high,6
1710221,Odontopodisma_rubripes,Pasture_low,2
1710221,Odontopodisma_rubripes,WoodlandForest_multi,2
1710221,Odontopodisma_rubripes,WoodlandForest_primary,0
1710221,Odontopodisma_rubripes,WoodlandForest_prod,3
1710932,Stenobothrus_eurasius,Pasture_high,3
1710932,Stenobothrus_eurasius,Pasture_low,1
1772458,Xylomoia_strix,Pasture_high,2
1772458,Xylomoia_strix,Pasture_low,1
1772458,Xylomoia_strix,WoodlandForest_multi,2
1772458,Xylomoia_strix,WoodlandForest_primary,0
1772458,Xylomoia_strix,WoodlandForest_prod,4
1777695,Arytrura_musculus,WoodlandForest_multi,2
1777695,Arytrura_musculus,WoodlandForest_primary,0
1777695,Arytrura_musculus,WoodlandForest_prod,3
1829987,Glyphipterix_loricatella,Pasture_high,1
1829987,Glyphipterix_loricatella,Pasture_low,0
1862774,Hyles_hippophaes,Pasture_high,2
1862774,Hyles_hippophaes,Pasture_low,1
1864161,Proserpinus_proserpina,Cropland_high,27
1864161,Proserpinus_proserpina,Cropland_low,10
1864161,Proserpinus_proserpina,Cropland_med,18
1864161,Proserpinus_proserpina,Pasture_high,11
1864161,Proserpinus_proserpina,Pasture_low,4
1864161,Proserpinus_proserpina,WoodlandForest_multi,1
1864161,Proserpinus_proserpina,WoodlandForest_primary,0
1864161,Proserpinus_proserpina,WoodlandForest_prod,1
1911093,Coenonympha_oedippus,Cropland_high,18
1911093,Coenonympha_oedippus,Cropland_low,6
1911093,Coenonympha_oedippus,Cropland_med,11
