name,value
Austria.AT11.GRSLND.Area,2.322
Austria.AT11.GRSLND.HiSol_CO2,0.951
Austria.AT11.GRSLND.HiSol_N2O,3.432
,
Austria.AT12.GRSLND.Area,0.006
Austria.AT12.GRSLND.HiSol_CO2,0.954
Austria.AT12.GRSLND.HiSol_N2O,3.448
,
Austria.AT31.GRSLND.Area,3.01
Austria.AT31.GRSLND.HiSol_CO2,0.951
Austria.AT31.GRSLND.HiSol_N2O,3.432
,
Austria.AT32.GRSLND.Area,10.498
Austria.AT32.GRSLND.HiSol_CO2,0.951
Austria.AT32.GRSLND.HiSol_N2O,3.432
,
Austria.AT33.GRSLND.Area,0.354
Austria.AT33.GRSLND.HiSol_CO2,0.95
Austria.AT33.GRSLND.HiSol_N2O,3.431
,
Austria.AT34.GRSLND.Area,1.247
Austria.AT34.GRSLND.HiSol_CO2,0.951
Austria.AT34.GRSLND.HiSol_N2O,3.432
,
Belgium.BE21.GRSLND.Area,0.102
Belgium.BE21.GRSLND.HiSol_CO2,3.442
Belgium.BE21.GRSLND.HiSol_N2O,3.429
,
Belgium.BE21.CrpLnd.Area,0.14
Belgium.BE21.CrpLnd.HiSol_CO2,25.998
Belgium.BE21.CrpLnd.HiSol_N2O,3.434
,
Belgium.BE23.GRSLND.Area,0.355
Belgium.BE23.GRSLND.HiSol_CO2,3.442
Belgium.BE23.GRSLND.HiSol_N2O,3.435
,
Belgium.BE23.CrpLnd.Area,0.626
Belgium.BE23.CrpLnd.HiSol_CO2,26.001
Belgium.BE23.CrpLnd.HiSol_N2O,3.433
,
Belgium.BE25.GRSLND.Area,0.921
Belgium.BE25.GRSLND.HiSol_CO2,3.443
Belgium.BE25.GRSLND.HiSol_N2O,3.432
,
Belgium.BE25.CrpLnd.Area,3.029
Belgium.BE25.CrpLnd.HiSol_CO2,26.001
Belgium.BE25.CrpLnd.HiSol_N2O,3.432
,
Belgium.BE32.GRSLND.Area,0.11
Belgium.BE32.GRSLND.HiSol_CO2,3.443
Belgium.BE32.GRSLND.HiSol_N2O,3.42
,
Belgium.BE32.CrpLnd.Area,0.577
Belgium.BE32.CrpLnd.HiSol_CO2,26
